,name,price,first_name,last_name,above_100
0,William Garcia,258.1809089,William,Garcia,True
1,Barbara Freeman,141.890534,Barbara,Freeman,True
2,Rebecca Zimmerman,293.373272,Rebecca,Zimmerman,True
3,Patricia Velasquez,249.9479246,Patricia,Velasquez,True
4,Ronnie Clark,272.908659,Ronnie,Clark,True
5,Timothy Rose,65.74326968,Timothy,Rose,False
6,Joshua Ramirez,64.54997394,Joshua,Ramirez,False
7,Joseph Dawson,111.0171384,Joseph,Dawson,True
8,Robert Rios,87.31797988,Robert,Rios,False
9,Karen Mitchell,277.2511543,Karen,Mitchell,True
10,Patrick Greene,7.259436115,Patrick,Greene,False
11,Matthew Nelson,295.3146887,Matthew,Nelson,True
12,Melissa Smith,70.04282129,Melissa,Smith,False
13,Amy Johnson,78.26892103,Amy,Johnson,False
14,Edgar Ellis,208.6777041,Edgar,Ellis,True
15,Olivia Rivera,104.8094951,Olivia,Rivera,True
16,Kelly Leblanc MD,40.20849552,Kelly,Leblanc MD,False
17,Jennifer Anderson,17.90633335,Jennifer,Anderson,False
18,Tammy Clark,125.0672217,Tammy,Clark,True
19,Jennifer Marquez,21.63604687,Jennifer,Marquez,False
20,Cory Silva,36.24541189,Cory,Silva,False
21,Mackenzie Moon,264.9268902,Mackenzie,Moon,True
22,Larry Wade,126.3049676,Larry,Wade,True
23,Diana Shaffer,37.50406255,Diana,Shaffer,False
24,Stephen Smith,168.1895294,Stephen,Smith,True
25,Kendra White,265.1085587,Kendra,White,True
26,Lindsey Williamson,280.3953974,Lindsey,Williamson,True
27,Wanda Hale,106.0997985,Wanda,Hale,True
28,Jillian Davies DDS,10.64366962,Jillian,Davies DDS,False
29,Douglas Thomas,119.0382607,Douglas,Thomas,True
30,Jennifer Davis,153.0526538,Jennifer,Davis,True
31,George Holmes,44.38614111,George,Holmes,False
32,Marissa Webster,105.4378241,Marissa,Webster,True
33,Anna Boyle,80.47552199,Anna,Boyle,False
34,Paul Gillespie,174.6815735,Paul,Gillespie,True
35,Autumn Johnston,132.780344,Autumn,Johnston,True
36,Tracey Norton DDS,118.0225331,Tracey,Norton DDS,True
37,Amy Flynn,128.6739798,Amy,Flynn,True
38,Melissa Davis,72.58977535,Melissa,Davis,False
39,Vincent Mitchell,78.43990466,Vincent,Mitchell,False
40,Gregory Martin,144.6915752,Gregory,Martin,True
41,Robert Coffey Jr.,117.3205633,Robert,Coffey Jr.,True
42,Melissa Montgomery,101.4845534,Melissa,Montgomery,True
43,Krystal Cunningham,296.536062,Krystal,Cunningham,True
44,Scott Lee,163.4878508,Scott,Lee,True
45,James Murray,28.59025756,James,Murray,False
46,Hunter Stokes,3.582742282,Hunter,Stokes,False
47,Jasmine Austin,33.90382995,Jasmine,Austin,False
48,Grant Summers,51.78034157,Grant,Summers,False
49,Sarah Spencer DDS,271.6023676,Sarah,Spencer DDS,True
50,Brianna Lewis,192.617676,Brianna,Lewis,True
51,Mrs. Rhonda Martin DVM,145.6455553,Mrs.,Rhonda Martin DVM,True
52,Dennis Lawrence Jr.,161.3584294,Dennis,Lawrence Jr.,True
53,Michael Stewart,245.4400987,Michael,Stewart,True
54,William Wilkins,22.90555849,William,Wilkins,False
55,Rebecca Jimenez,142.590737,Rebecca,Jimenez,True
56,Kathleen Roman,15.10135967,Kathleen,Roman,False
57,Billy Smith,22.53181535,Billy,Smith,False
58,Nicole James,101.913846,Nicole,James,True
59,Allison Holt,12.7990102,Allison,Holt,False
60,Amanda Johnson,19.17461281,Amanda,Johnson,False
61,Michael Spencer,171.890946,Michael,Spencer,True
62,Brandi King,30.05366744,Brandi,King,False
63,Alexander King,23.47063099,Alexander,King,False
64,Nicole Sampson,207.6385148,Nicole,Sampson,True
65,Savannah Bell,22.05563858,Savannah,Bell,False
66,Jessica Harris MD,103.7031099,Jessica,Harris MD,True
67,Lauren Gallagher,266.215602,Lauren,Gallagher,True
68,Jack Townsend,93.27791862,Jack,Townsend,False
69,Jamie Nguyen,228.9953328,Jamie,Nguyen,True
70,Ann Price,266.323001,Ann,Price,True
71,Michael Rodriguez,224.0452951,Michael,Rodriguez,True
72,Heather Davidson,219.8337855,Heather,Davidson,True
73,Marie Green,146.6406753,Marie,Green,True
74,Lori Tapia,147.3422789,Lori,Tapia,True
75,Kayla Alvarado,127.2410425,Kayla,Alvarado,True
76,Susan Crosby,200.3652912,Susan,Crosby,True
77,Nathan Harris,163.8731027,Nathan,Harris,True
78,Michael Daniel,4.582288435,Michael,Daniel,False
79,Ashley Jones,53.14943439,Ashley,Jones,False
80,John Wright,91.35592502,John,Wright,False
81,Melissa Jordan,294.2154133,Melissa,Jordan,True
82,Carrie Jackson,232.6768105,Carrie,Jackson,True
83,Rebecca Anderson,183.1702424,Rebecca,Anderson,True
84,Paul Powell,105.1162169,Paul,Powell,True
85,Shawn Baxter,81.03527984,Shawn,Baxter,False
86,Sarah Wright,141.0101793,Sarah,Wright,True
87,Kimberly Romero,235.624084,Kimberly,Romero,True
88,Matthew Washington,186.5044837,Matthew,Washington,True
89,Kirk Hayden,148.2501795,Kirk,Hayden,True
90,Traci Kelley,41.56298339,Traci,Kelley,False
91,Isabella Chen,129.6921072,Isabella,Chen,True
92,Melanie Salazar,292.8461055,Melanie,Salazar,True
93,Stephanie Lewis,76.43122945,Stephanie,Lewis,False
94,Christopher Hensley,249.1556558,Christopher,Hensley,True
95,Terry Vincent,242.9859001,Terry,Vincent,True
96,Jason Alvarado,95.92027624,Jason,Alvarado,False
97,Michelle Evans,257.2373034,Michelle,Evans,True
98,Dennis Benitez,87.11980487,Dennis,Benitez,False
99,Troy Garcia,181.4054634,Troy,Garcia,True
100,Albert Davila,113.2109822,Albert,Davila,True
101,Candice Rivera,42.88132073,Candice,Rivera,False
102,Cole Edwards,244.0779245,Cole,Edwards,True
103,Danielle Johnson,31.63041433,Danielle,Johnson,False
104,Justin Ramirez,146.3464935,Justin,Ramirez,True
105,Elizabeth Griffith,205.7783782,Elizabeth,Griffith,True
